ID	Ip3r2	Tom20	Mfn2	Vdac1	Ip3r2.Vdac1	Ip3r2_SE	Tom20_SE	Mfn2_SE	Vdac1_SE	Ip3r2.Vdac1_SE
6028	19.86	118.48	28.33	32.85	1.44	1.61	8.04	1.73	3.1	0.08
6059	61.46	15.29	22.79	42.43	1.14	7.77	1.67	1.73	3.79	0.13
6108	75.94	44.15	54.12	161.96	1.13	7.49	6.33	6.04	8.06	0.05
6110	63.05	75.68	66.72	43.13	1.41	6	6.05	4.03	2.87	0.09
6114	99.05	48.8	55.13	205.78	0.6	2.57	3.46	4.35	6.04	0.03
6124	68.06	29.8	36.57	196.33	0.88	3.31	3.27	1.64	9.63	0.05
6127	27.64	31.97	33.78	NA	0.38	4.61	4.21	2.56	NA	0.06
6132	22.54	120.04	26.23	191.88	NA	0.94	11.18	1.74	7.44	NA
6133	94.79	20.01	34.86	140.23	1.92	3.92	2.1	0.56	10.25	0.06
6221	33.78	NA	15.2	89.65	1	0.72	NA	0.79	4.83	0.05
6249	17.52	66.21	NA	95.25	1.33	1.05	8.6	NA	6.42	0.07
6255	79.55	49.47	37.28	110.6	1.51	7.01	5.99	5.56	5.03	0.08
6009	24.13	16.36	17.78	130.83	2.05	0.89	0.94	1.02	15.41	0.14
6013	22.64	93.08	17.35	98.77	2.03	1.83	9.47	2.59	12.22	0.07
6057	35.23	68.56	25.44	64.85	2.5	2.02	2.41	1.92	5.47	0.11
6179	40.3	101.84	39.86	80.37	NA	3.64	8.82	6.79	8.11	NA
6229	49.06	77.19	43.16	242.88	2.8	4.15	9.06	2.48	1.43	0.19
6233	45.85	23.08	36.45	65.52	1.22	4.26	5.57	1.04	2.02	0.06
6235	53.67	19.07	48.59	94.87	1.72	4.44	1.32	3.48	8.26	0.08
6288	23.04	19.17	58.54	NA	1.57	0.53	4.42	5.13	NA	0.11
6290	18.74	134.08	31.52	74.76	2.55	1.88	7.38	3.42	2.81	0.18
