ID	CgA.cells	Ki67.CgA.cells	Nkx61.CgA.cells	Nkx22.CgA.cells
6062	X	NA	NA	NA
6063	X	X	X	X
6064	X	NA	NA	NA
6089	X	X	X	X
6083	X	X	X	X
6087	X	NA	NA	NA
6145	X	NA	NA	NA
6148	X	NA	NA	NA
6261	X	X	X	X
6360	X	NA	NA	NA
6046	X	NA	NA	NA
6049	X	NA	NA	NA
6084	X	X	X	X
6195	X	NA	NA	NA
6243	X	NA	NA	NA
6265	X	X	X	X
6268	X	NA	NA	NA
6306	X	NA	NA	NA
6342	X	NA	NA	NA
6047	X	X	X	X
6096	X	NA	NA	NA
6098	X	NA	NA	NA
6130	X	X	X	X
6336	X	X	X	X
6335	X	NA	NA	NA
6153	X	X	X	X
6318	X	NA	NA	NA
6293	X	X	X	X
6075	X	X	X	X
6279	X	NA	NA	NA
6172	X	NA	NA	NA
6230	X	NA	NA	NA
6381	X	NA	NA	NA
6036	X	X	X	X
6045	X	X	X	X
6068	X	X	X	X
6012	X	X	X	X
6126	X	X	X	X
6104	X	X	X	X
