ID	Bcell.PBMC.PC	Bcell.Spleen.PC	Bcell.iLN.PC	Bcell.pLN.PC	CD4Tcell.Intraislet.PC	CD8Tcell.Intraislet.PC	CD8Tcell.PBMC.PC	CD8Tcell.Spleen.PC	CD8Tcell.iLN.PC	CD8Tcell.pLN.PC	Tconv.PBMC.PC	Tconv.Spleen.PC	Tconv.iLN.PC	Tconv.pLN.PC	Treg.PBMC.PC	Treg.Spleen.PC	Treg.iLN.PC	Treg.pLN.PC
6161	NA	0.047453661	NA	0.042879451	NA	NA	NA	0.160378814	NA	0.121562429	NA	0.045943305	NA	0.035631519	NA	0.049175259	NA	0.089411005
6174	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.147499099	NA	NA	NA	NA	NA	NA	NA	0.039402656
6193	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.056582645	NA	NA	NA	0.041918416	NA	NA	NA	0.029734403
6195	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.036384966	NA	NA	NA	NA	NA	NA	NA	NA
6196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.033392835	NA	NA	NA	0.042774819	NA
6197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025518334	NA	NA	NA	NA
6207	NA	NA	NA	NA	NA	NA	NA	0.170298338	0.157841593	0.112366267	NA	0.040394779	0.024041587	0.022582289	NA	0.051436335	0.028407156	0.027214052
6208	NA	NA	NA	NA	NA	NA	NA	0.146745622	NA	NA	NA	0.041605614	NA	0.026304945	NA	0.059283692	NA	0.037998959
6211	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.109358072	NA	0.042774316	NA	0.032413729	NA	0.033777259	NA	0.034461692
6212	NA	NA	NA	NA	NA	NA	0.081545748	0.178059042	NA	0.063224956	0.053772476	0.033184018	NA	0.024209464	NA	0.041793097	NA	0.028249837
6220	NA	NA	NA	NA	NA	NA	NA	NA	0.080557883	NA	NA	NA	0.030029103	NA	NA	0.042575579	0.035295322	0.032769561
6242	NA	NA	NA	NA	NA	NA	NA	0.335602194	NA	0.232244432	NA	0.050649311	NA	0.037757348	NA	0.061152481	NA	0.035685152
6243	NA	0.128939912	NA	0.053986684	NA	NA	NA	0.104587302	NA	0.042363264	NA	0.03649655	NA	0.033538695	NA	0.049254272	NA	0.046270058
6249	NA	NA	NA	NA	NA	NA	0.401518941	0.555164337	NA	0.187497184	0.061618879	0.144170165	NA	0.060975179	NA	NA	NA	0.05858852
6254	NA	NA	NA	NA	NA	NA	NA	0.262794942	NA	0.083114646	NA	0.051489603	NA	0.028032677	NA	0.067144997	NA	0.031386152
6262	NA	NA	NA	NA	NA	NA	0.052377656	0.046750173	NA	0.07119631	0.047313046	0.042248622	NA	0.047787067	NA	0.077213608	NA	0.051464513
6263	NA	NA	NA	0.056229074	NA	NA	NA	0.382948607	NA	0.132779405	NA	0.201173127	NA	0.049655296	NA	0.107702143	NA	0.056133587
6264	NA	0.065429375	NA	0.052994233	NA	NA	NA	0.152750731	NA	0.050015777	NA	0.056136902	NA	0.069288008	NA	NA	NA	0.054007281
6265	NA	0.106614396	NA	0.077252597	NA	NA	NA	0.128605366	NA	0.049671844	NA	0.063414812	NA	0.234602049	NA	0.054701731	NA	0.038780786
