ID	x	value
6134	HS	22.967
6134	HS	24.642
6134	HS	20.007
6134	HS	24.745
6134	HS	27.268
6134	HS	20.891
6134	HS	27.04
6134	HS	14.842
6134	HS	15.956
6134	Col18	40.814
6134	Col18	42.973
6134	Col18	35.29
6134	Col18	36.382
6134	Col18	47.993
6134	Col18	53.662
6134	Col18	50.902
6134	Col18	39.981
6134	Col18	39.04
6134	Col18	24.077
6134	Sdc1	18.142
6134	Sdc1	21.474
6134	Sdc1	17.817
6134	Sdc1	13.87
6134	Sdc1	25.263
6134	Sdc1	25.163
6134	Sdc1	17.669
6134	Sdc1	25.331
6134	Sdc1	30.905
6134	Sdc1	11.055
6134	Insulin	29.76
6134	Insulin	37.689
6134	Insulin	33.194
6134	Insulin	26.482
6134	Insulin	41.32
6134	Insulin	50
6134	Insulin	34.091
6134	Insulin	29.329
6134	Insulin	28.37
6134	Insulin	23.455
6134	Glucagon	7.367
6134	Glucagon	15.614
6134	Glucagon	15.117
6134	Glucagon	17.673
6134	Glucagon	8.33
6134	Glucagon	9.292
6134	Glucagon	3.594
6134	Glucagon	16.76
6134	Glucagon	11.907
6134	Glucagon	27.578
6129	HS	18.367
6129	HS	22.586
6129	HS	13.82
6129	HS	12.506
6129	HS	14.178
6129	HS	9.382
6129	HS	19.316
6129	HS	14.853
6129	HS	21.137
6129	HS	20.799
6129	Col18	19.332
6129	Col18	29.566
6129	Col18	19.065
6129	Col18	21.151
6129	Col18	21.368
6129	Col18	14.268
6129	Col18	20.665
6129	Col18	16.358
6129	Col18	20.01
6129	Col18	17.943
6129	Sdc1	NA
6129	Insulin	36.236
6129	Insulin	49.899
6129	Insulin	29.278
6129	Insulin	26.602
6129	Insulin	24.576
6129	Insulin	14.948
6129	Insulin	20.333
6129	Insulin	21.857
6129	Insulin	23.753
6129	Insulin	33.118
6129	Glucagon	18.245
6129	Glucagon	21.375
6129	Glucagon	12.745
6129	Glucagon	9.714
6129	Glucagon	4.139
6129	Glucagon	12.7
6129	Glucagon	5.617
6129	Glucagon	11.644
6129	Glucagon	10.36
6129	Glucagon	18.047
6104	HS	13.272
6104	HS	26.019
6104	HS	14.646
6104	HS	13.592
6104	HS	11.655
6104	HS	9.044
6104	HS	20.01
6104	HS	28.745
6104	HS	7.669
6104	HS	7.314
6104	Col18	22.918
6104	Col18	49.276
6104	Col18	24.715
6104	Col18	22.845
6104	Col18	19.052
6104	Col18	34.829
6104	Col18	38.278
6104	Col18	22.018
6104	Col18	30.353
6104	Sdc1	NA
6104	Insulin	17.231
6104	Insulin	45.039
6104	Insulin	29.43
6104	Insulin	17.759
6104	Insulin	25.425
6104	Insulin	24.217
6104	Insulin	32.997
6104	Insulin	34.755
6104	Insulin	24.815
6104	Insulin	23.317
6104	Glucagon	14.563
6104	Glucagon	21.504
6104	Glucagon	23.372
6104	Glucagon	20.336
6104	Glucagon	12.862
6104	Glucagon	12.506
6104	Glucagon	19.306
6104	Glucagon	7.806
6075	Col18	19.749
6075	Col18	22.639
6075	Col18	16.316
6075	Col18	26.156
6075	Col18	13.374
6075	Col18	19.015
6075	Col18	13.898
6075	Col18	16.474
6075	Col18	22.575
6075	Col18	9.054
6075	Col18	21.604
6075	Col18	27.237
6075	Col18	36.91
6075	Col18	22.917
6075	Col18	21.347
6075	Col18	22.659
6075	Col18	18.491
6075	Col18	15.507
6075	Sdc1	36.285
6075	Sdc1	27.827
6075	Sdc1	39.308
6075	Sdc1	27.834
6075	Sdc1	15.418
6075	Sdc1	34.256
6075	Sdc1	25.406
6075	Sdc1	31.025
6075	Sdc1	25.915
6075	Sdc1	30.521
6075	Insulin	21.89
6075	Insulin	22.582
6075	Insulin	11.94
6075	Insulin	15.83
6075	Insulin	18.411
6075	Insulin	14.437
