ID	Ki67.PDG	Ki67.interPDG	Ki67.intraPDG	Ins.interPDG	Ins.intraPDG	Sox9.PDG	Gata4.PDG
6031	0.51	NA	NA	NA	NA	NA	NA
6035	0.54	NA	NA	NA	NA	NA	NA
6036	2.07	NA	NA	NA	NA	NA	NA
6040	1.07	NA	NA	NA	NA	NA	NA
6045	7.04	NA	NA	NA	NA	NA	NA
6050	5.12	NA	NA	NA	NA	NA	NA
6051	0.33	NA	NA	NA	NA	NA	NA
6054	1.14	NA	NA	NA	NA	NA	NA
6061	2.2	NA	NA	NA	NA	NA	NA
6062	1.62	NA	NA	NA	NA	NA	NA
6063	0.82	NA	NA	NA	NA	NA	NA
6064	48.7	NA	NA	NA	NA	NA	NA
6068	1.08	NA	NA	NA	NA	NA	NA
6070	0.36	NA	NA	NA	NA	NA	NA
6076	0.51	NA	NA	NA	NA	NA	NA
6085	2.32	NA	NA	NA	NA	NA	NA
6088	1.12	NA	NA	NA	NA	NA	NA
6089	22.18	NA	NA	NA	NA	NA	NA
6119	1.98	NA	NA	NA	NA	NA	NA
6128	0.21	NA	NA	NA	NA	NA	NA
6135	6.4	NA	NA	NA	NA	NA	NA
6138	29.03	NA	NA	NA	NA	NA	NA
6010	0.55	NA	NA	NA	NA	NA	NA
6012	0.57	NA	NA	NA	NA	NA	NA
6013	0.82	NA	NA	NA	NA	NA	NA
6015	0.13	NA	NA	NA	NA	NA	NA
6017	0.46	NA	NA	NA	NA	NA	NA
6021	0.86	NA	NA	NA	NA	NA	NA
6022	0.4	NA	NA	NA	NA	NA	NA
6029	0.11	NA	NA	NA	NA	NA	NA
6030	0.26	NA	NA	NA	NA	NA	NA
6034	0.59	NA	NA	NA	NA	NA	NA
6047	1.8	NA	NA	NA	NA	NA	NA
6048	0.49	NA	NA	NA	NA	NA	NA
6057	0.3	NA	NA	NA	NA	NA	NA
6060	1.14	NA	NA	NA	NA	NA	NA
6091	0.75	NA	NA	NA	NA	NA	NA
6096	0.27	NA	NA	NA	NA	NA	NA
6098	0.11	NA	NA	NA	NA	NA	NA
6102	0.38	NA	NA	NA	NA	NA	NA
6104	0.38	NA	NA	NA	NA	NA	NA
6126	0.29	NA	NA	NA	NA	NA	NA
6130	0.05	NA	NA	NA	NA	NA	NA
6131	0.92	NA	NA	NA	NA	NA	NA
6134	0.73	NA	NA	NA	NA	NA	NA
6140	0.78	NA	NA	NA	NA	NA	NA
