Source,Contributors,Variable,Value,Description,Meta,Level,CellTissue,TissueContext,Complex,IndividualLevelData,Entrez,CHEBI,MPO,MPOLabel,EFO,EFOLabel,VarWithinD,VarDvsCTRL,Relevance,Levels,Method,MethodRef,MethodDetails,PrivateNote,Note,DataSource,DataSourceLink
PMID30203067,Capua et al. (2018),CXCL10.panH.score,Score positive cell/field: 0: none; 1: ≤ 20; 2: 20-40; 3 :> 40,mRNA quantification (FISH) of CXCL10 in pancreas-head tissue,,transcript,pancreas,pancreas,,,,,,,,,,,,,,,,,,Table 2. FISH for influenza viral RNA and CXCL10 RNA in human pancreases.,https://academic.oup.com/jcem/advance-article/doi/10.1210/jc.2018-00862/5091458
PMID30203067,Capua et al. (2018),CXCL10.panB.score,Score positive cell/field: 0: none; 1: ≤ 20; 2: 20-40; 3 :> 40,mRNA quantification (FISH) of CXCL10 in pancreas-body tissue,,transcript,pancreas,pancreas,,,,,,,,,,,,,,,,,,Table 2. FISH for influenza viral RNA and CXCL10 RNA in human pancreases.,https://academic.oup.com/jcem/advance-article/doi/10.1210/jc.2018-00862/5091458
PMID30203067,Capua et al. (2018),CXCL10.panT.score,Score positive cell/field: 0: none; 1: ≤ 20; 2: 20-40; 3 :> 40,mRNA quantification (FISH) of CXCL10 in pancreas-tail tissue,,transcript,pancreas,pancreas,,,,,,,,,,,,,,,,,,Table 2. FISH for influenza viral RNA and CXCL10 RNA in human pancreases.,https://academic.oup.com/jcem/advance-article/doi/10.1210/jc.2018-00862/5091458
PMID30203067,Capua et al. (2018),CXCL10.duodenum.score,Score positive cell/field: 0: none; 1: ≤ 20; 2: 20-40; 3 :> 40,mRNA quantification (FISH) of CXCL10 in duodenum tissue,,transcript,duodenum,duodenum,,,,,,,,,,,,,,,,,,Table 2. FISH for influenza viral RNA and CXCL10 RNA in human pancreases.,https://academic.oup.com/jcem/advance-article/doi/10.1210/jc.2018-00862/5091458
PMID30203067,Capua et al. (2018),CXCL10.mean.score,Score positive cell/field: 0: none; 1: ≤ 20; 2: 20-40; 3 :> 40,"mRNA quantification (FISH) of CXCL10 averaged across available pancreas (head, body, tail) samples",,transcript,pancreas,pancreas,,,,,,,,,,,,,,,,,,Table 2. FISH for influenza viral RNA and CXCL10 RNA in human pancreases.,https://academic.oup.com/jcem/advance-article/doi/10.1210/jc.2018-00862/5091458
PMID30150306,Horwitz et al. (2018),beta.53BP1.prct,%,Fraction of beta cells with activated 53BP1,,cell,type B pancreatic cell,islet of Langerhans,,,,,,,,,,,"Activation of 53BP1 protein provides evidence for a beta-cell DNA damage response (DDR) in T1D; beta-cell DDR is more frequent in islets infiltrated by CD45+ immune cells, suggesting a link to islet inflammation.",,,,,,,Figure S1(D). The fraction of beta cells with activated 53BP1 in samples originating solely from the nPODrepository. ,
PMID30078552,Gonzalez-Duque et al. (2018),pan.MMr.IAPP,counts(x10-3) of Mmr+ cells/mm2 pancreas section area,MMr+ cells reactive for IAPP[15-17/5-10] antigen peptide in pancreas,,cell,"CD8-positive, alpha-beta T cell",pancreas,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),pan.MMr.ISL1,counts(x10-3) of Mmr+ cells/mm2 pancreas section area,MMr+ cells reactive for ISL1[276–284] antigen peptide in pancreas,,cell,"CD8-positive, alpha-beta T cell",pancreas,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),pan.MMr.UCN3,counts(x10-3) of Mmr+ cells/mm2 pancreas section area,MMr+ cells reactive for UCN3[1-9] antigen peptide in pancreas,,cell,"CD8-positive, alpha-beta T cell",pancreas,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
PMID30078552,Gonzalez-Duque et al. (2018),pan.MMr.ZnT8,counts(x10-3) of Mmr+ cells/mm2 pancreas section area,MMr+ cells reactive for ZnT8[186-194] antigen peptide (positive control) in pancreas,,cell,"CD8-positive, alpha-beta T cell",pancreas,,,,,,,,,,,,,,,,,,Table S5. Related to Fig. 6. nPOD cases analyzed by in-situ tissue MMr staining.,https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc1.pdf
