"Var1" "Var2" "value" "n"
"HS" "HS" 1 16
"Col18" "HS" 0.846818870426928 14
"Sdc1" "HS" 0.733209660364525 9
"Ins_x1" "HS" 0.449428339088159 16
"Gcg_x1" "HS" -0.391482927718044 13
"IP3R2" "HS" NA 0
"TOM20" "HS" NA 0
"MFN2" "HS" NA 0
"VDAC1" "HS" NA 0
"IP3R2.VDAC1" "HS" NA 0
"beta_Ins" "HS" 0.724781129220059 6
"beta_cells" "HS" 0.820607309304695 10
"beta_area" "HS" 0.27850660519528 10
"beta_mass" "HS" 0.0820746318573116 8
"Nitrotyrosine" "HS" -0.140030191608536 5
"GLP1R.acinar_x1" "HS" NA 0
"GLP1R.islets_x1" "HS" NA 0
"GLP1R.acinar_x2" "HS" NA 0
"GLP1R.islets_x2" "HS" NA 0
"HLA.A1" "HS" -0.0184191055266765 9
"HLA.A2" "HS" 0.247399848934398 9
"HLA.A3" "HS" 0.247399848934398 9
"HLA.A4" "HS" 0.17633116949786 9
"HLA.A5" "HS" 0.538001470127298 9
"HLA.A6" "HS" 0.156552532005618 9
"HLA.A7" "HS" 0.325024721261928 9
"HLA.A8" "HS" 0.37529019727058 9
"HLA.B1" "HS" -0.0495018518855033 9
"HLA.B2" "HS" -0.144294736285747 9
"HLA.B3" "HS" 0.0967348017330027 9
"HLA.B4" "HS" 0.0329874001954408 9
"HLA.B5" "HS" -0.0384429452903095 9
"HLA.B6" "HS" 0.167148139397609 9
"HLA.C1" "HS" 0.0551029343168621 9
"HLA.C2" "HS" 0.102639551654386 9
"HLA.C3" "HS" 0.226627531010663 9
"HLA.C4" "HS" -0.11518558783758 9
"HLA.C5" "HS" -0.0998987819016288 9
"HLA.C6" "HS" 0.224277023648248 9
"HLA.C7" "HS" 0.253808161359968 9
"HLA.F1" "HS" 0.398387800729947 9
"HLA.F2" "HS" 0.272557631429427 9
"HLA.F3" "HS" 0.188997962667164 9
"HLA.F4" "HS" 0.188997962667164 9
"HLA.F5" "HS" -0.0020471843787638 9
"HLA.F6" "HS" 0.188997962667164 9
"HLA.F7" "HS" -0.457626320418542 9
"B2M" "HS" 0.141585424947428 9
"STAT1" "HS" 0.087328268567985 9
"IHC.score" "HS" -0.747111835148702 9
"ICI.score" "HS" 0.483989654430175 9
"GAD65" "HS" 0.76010905532715 3
"CD20_x1" "HS" NA 1
"CyclinD1" "HS" 0.793849603945816 3
"CyclinD3" "HS" 0.481970072330463 4
"n_leucocytes" "HS" 0.0635324714776259 5
"n_leucocytes2" "HS" 0.0581706770867683 4
"n_islets" "HS" 0.303739468509455 5
"n_insulitis" "HS" 0.186451336295473 5
"n_islets2" "HS" -0.764106876130705 4
"n_insulitis2" "HS" -0.415810672611587 4
"x12LO" "HS" -0.652874938452665 5
"CD20_x2" "HS" 1 2
"MMc" "HS" -1 2
"ins.MMc" "HS" -1 2
"MxA" "HS" -1 2
"BM" "HS" -1 2
"insulin" "HS" 0.908703415773975 4
"insulin2" "HS" NA 2
"HLA" "HS" NA 2
"survivin" "HS" NA 2
"CH.Ins" "HS" NA 16
"CH.amyloid" "HS" NA 16
