Source	Contributor	VarID	Variable	Value	Description	ThemeTag	Level	CellTissue	CellTissueContext	DataItem	Complex	Dimensions	LinkedID	IndividualLevelData	InApp	MPTerm	GOTerm	EFOTerm	Relevance	Levels	MethodID	PrivateNote	PublicNote	DataSource	DataSourceLink
GSE72492	Yip et al. (unpublished)	Transcriptomics	Transcriptomics	log2 normalized expression	Transcriptomics data	omics	transcript	pancreas	pancreas	normalized data set	1	20000	T	T	T			transcriptome measurement			Yip_1			Series GSE72492: Gene expression in the pancreas of healthy control, auto-antibody positive, and type 1 diabetic subjects	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72492
KaddisLab	Kaddis Lab	A.1.type	A.1.type	allele	HLA-A allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	B.1.type	B.1.type	allele	HLA-B allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	C.1.type	C.1.type	allele	HLA-C allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	A.2.type	A.2.type	allele	HLA-A allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	B.2.type	B.2.type	allele	HLA-B allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	C.2.type	C.2.type	allele	HLA-C allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	DRB1.1.type	DRB1.1.type	allele	DRB1 allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	DRB1.2.type	DRB1.2.type	allele	DQA1 allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	DQA1.1.type	DQA1.1.type	allele	DQB1 allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	Kaddis Lab	DQA1.2.type	DQA1.2.type	allele	DRB1 allele	genetic risk	gene	pancreas	pancreas	predicted data item	0	1	T	T	T			genotype			KaddisLab_1		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
