ID	GLP1R.prct.acinar	GLP1R.prct.islets	GLP1R.acinar	GLP1R.islet
6028	0.05	0.85	28.07	87.8
6059	0.04	1.41	26.12	77.16
6108	0.07	1.11	30.54	84.93
6109	0.07	1.7	33.02	67.43
6110	0.04	0.46	27.99	68.95
6114	0.01	1.19	23.56	95.71
6124	0.02	0.63	22.03	67.71
6127	0.01	0.28	23.93	84.77
6132	0.02	0.84	26.11	78.11
6133	0.04	0.44	21.84	69.87
6139	0.04	0.73	28.52	67.38
6142	0.01	0.53	23.95	76.03
6176	0.02	0.32	23.94	73.27
6188	0.06	1.69	28.35	70.39
6191	0.01	1.53	21.21	79.73
6157	0.02	0.76	26.14	68.79
6185	0.01	0.84	22.79	69.52
6186	0.03	0.93	25.92	84.07
6189	0.13	4.58	32.89	72.57
6194	0.08	7.09	24.79	86.29
6199	0.04	1.45	24.99	86.59
6203	0.03	2.61	23.02	70.29
6206	0.07	1.91	23.11	77
