ID	Ins.cells	TUNEL.Ins.cells	Ins.cells	Ki67.Ins.cells	Arx.cells	Ki67.Arx.cells	Nkx61.Arx.cells	Ins.Gcg.cells	beta.area	beta.mass
6200	NA	NA	4864	1.624177632	11695	3.403163745	NA	NA	5.797910716	0.24873037
6214	NA	NA	2958	1.656524679	92836	3.467404886	NA	NA	8.005162405	0.080051624
6164	NA	NA	2158	5.282669138	124412	2.757772562	NA	NA	3.047831183	0.090825369
6218	NA	NA	4615	0.195016251	84491	6.497733486	NA	NA	5.292598216	0.038635967
6222	NA	NA	3131	0.415202811	135402	1.183143528	NA	NA	3.916344139	0.225973057
6117	4260	X	6235	0.144346431	32536	1.281657241	NA	NA	4.941497577	0.266840869
6115	3961	X	5509	0.762388818	29931	8.195516354	NA	NA	2.272754838	0.088637439
6092	1525	X	2016	1.587301587	22168	2.016420065	NA	NA	1.250496292	0.066276303
6103	3983	X	4682	0.213583938	30322	1.761097553	NA	NA	0.756608889	0.07830902
6107	11600	X	10405	0.720807304	40609	2.068506981	NA	NA	0.578553088	0.09187423
6094	3710	X	3611	0	36013	1.046844195	NA	NA	0.487051549	0.103108813
6106	6996	X	8956	0.044662796	28213	0.524580867	NA	NA	2.471620789	0.403368513
6005	NA	NA	8405	0	82071	0.07798126	NA	NA	1.330917916	NA
6112	4954	X	9490	0.084299262	57910	2.477983077	NA	X	1.533863731	0.459852346
6007	NA	NA	17153	0.034979304	90400	0.901548673	NA	NA	1.087891366	NA
6278	NA	NA	9364	0.021358394	151147	0.31095556	NA	NA	2.067306388	0.694614947
6233	NA	NA	14249	0.112288582	150512	0.880992878	X	NA	2.345985656	1.42940906
6232	NA	NA	5453	0.201723822	117093	0.582443015	X	NA	1.989229359	0.982679303
6099	11089	X	6237.771857	0.016031365	19125	0.632679739	NA	X	2.768398072	2.36864139
6153	NA	NA	3109.021379	0.16082231	305741	0.306141473	NA	NA	1.400633175	0.948928976
6075	NA	NA	5138.450253	0.116766724	55627	1.373433764	NA	NA	1.000358954	0.473069749
6096	3836	X	6850.933788	0.01459655	28837	0.187259424	NA	X	0.62695696	0.322882834
6230	NA	NA	10429	0.278070764	153925	0.313139516	NA	NA	1.878811524	1.245088397
6271	NA	NA	11382	0	141608	0.83258008	NA	NA	1.016507436	0.996075636
6227	NA	NA	6155	0.016246954	111679	1.220462218	NA	NA	1.362207111	0.822773095
6098	9386	X	10230	0	26090	0.306630893	NA	NA	2.295557466	2.091252851
6279	NA	NA	8610	0.209059233	152562	0.186809297	NA	NA	1.069865228	0.857710953
6253	7768	X	10026	0.019948135	141608	0.83258008	NA	NA	1.296752072	1.105999842
6238	NA	NA	6636	0	125359	0.283186688	NA	NA	2.23142371	2.041752694
6234	NA	NA	16074	0.640786363	137432	0.541358636	NA	NA	2.744332491	0.545024433
6174	NA	NA	10078	0	152665	0.128385681	NA	NA	1.482172086	1.175362464
6024	NA	NA	5123	0	107713	0.023209826	NA	NA	1.38883968	NA
6179	NA	NA	8126	0.036918533	134468	6.617187732	NA	NA	0.877864509	0.635573905
6001	NA	NA	3523	0	179854	0.080620948	NA	NA	2.422694302	NA
6057	328	X	3005	0.299500832	19579	1.450533735	X	NA	1.787158696	1.865078815
6162	NA	NA	3715	0	58546	0.322823079	X	NA	0.904679372	0.737313688
6003	NA	NA	8390	0.011918951	127984	0.158613577	NA	NA	2.04676888	NA
6029	NA	NA	9197	0	151190	0.110457041	NA	NA	1.208310878	0.958190526
6131	NA	NA	9333	0.053573342	161174	0.183032003	NA	NA	1.439478583	1.567880073
6053	NA	NA	10034	0.279051226	36129	0.202053752	NA	NA	1.133373715	NA
6126	NA	NA	4399	0.022732439	49037	1.619185513	NA	NA	0.812797705	0.651863759
6058	NA	NA	2799	0	27936	0.608533792	NA	NA	1.950258327	1.027396086
6235	10065	X	8195	0.0976205	305731	0.700942986	NA	NA	1.28840509	1.318167247
6048	NA	NA	6208	0	75252	0.252484984	NA	NA	1.165704938	1.620329863
6030	4881	X	5140	0	114752	0.431365031	NA	NA	0.935472818	0.900860324
6229	NA	NA	14914	0.006705109	187708	0.108679438	NA	NA	2.18294274	0.995421889
