Source	Contributors	VarID	Variable	Value	Description	Tags	Level	CellTissue	TissueContext	DataTerm	Complex	Dimensions	LinkedID	IndividualLevelData	InApp	Entrez	MPTerm	GOTerm	EFOTerm	VarWithinD	VarDvsCtrl	Relevance	Levels	MethodID	PrivateNote	PublicNote	DataSource	DataSourceLink
GSE72492	Yip et al. (unpublished)	Transcriptomics	Transcriptomics	log2 normalized expression	Transcriptomics data	gene expression	transcript	pancreas	pancreas	normalized data set	1	20000	yes	yes	yes				transcriptome measurement					NA			Series GSE72492: Gene expression in the pancreas of healthy control, auto-antibody positive, and type 1 diabetic subjects	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72492
KaddisLab	HLAPhased	A.1	A.1	allele	HLA-A allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	B.1	B.1	allele	HLA-B allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	C.1	C.1	allele	HLA-C allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	A.2	A.2	allele	HLA-A allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	B.2	B.2	allele	HLA-B allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	C.2	C.2	allele	HLA-C allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	DRB1.1	DRB1.1	allele	DRB1 allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	DRB1.2	DRB1.2	allele	DQA1 allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	DQA1.1	DQA1.1	allele	DQB1 allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	DQA1.2	DQA1.2	allele	DRB1 allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	DQB1.1	DQB1.1	allele	DQA1 allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLAPhased	DQB1.2	DQB1.2	allele	DQB1 allele	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genotype					KaddisLab		An investigator account is required for accessing data. Unlike original data, alleles have been phased.	nPOD DataShare / Hi-Res HLA	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5029
KaddisLab	HLARisk	riskII	riskII	risk category	DR/DQ risk group – see methods	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genetic risk					KaddisLab
KaddisLab	HLARisk	riskII.conservative	riskII.conservative	risk category	DR/DQ risk group – see methods	HLA	gene	pancreas	pancreas	predicted data item	0	1	yes	yes	yes				genetic risk					KaddisLab
nPODCore	NPODCore – Auto-antibody Typing	GADA.pos	GADA.pos		Autoantibody-positive for GADA	auto-antibody	phenotype	NA	NA	categorical measurement datum	0	1	yes	yes	yes		autoimmune response		autoantibody measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	NPODCore – Auto-antibody Typing	IA2A.pos	IA2A.pos		Autoantibody-positive for IA2A	auto-antibody	phenotype	NA	NA	categorical measurement datum	0	1	yes	yes	yes		autoimmune response		autoantibody measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	NPODCore – Auto-antibody Typing	mIAA.pos	mIAA.pos		Autoantibody-positive for mIAA	auto-antibody	phenotype	NA	NA	categorical measurement datum	0	1	yes	yes	yes		autoimmune response		autoantibody measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	NPODCore – Auto-antibody Typing	Znt8A.pos	Znt8A.pos		Autoantibody-positive for Znt8A	auto-antibody	phenotype	NA	NA	categorical measurement datum	0	1	yes	yes	yes		autoimmune response		autoantibody measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	NPODCore – Auto-antibody Typing	AutoAb.count	AutoAb.count	count	Count of autoantibody types detected	auto-antibody	phenotype	NA	NA		0	1	yes	yes	yes		autoimmune response		autoantibody measurement					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / AutoAb Results	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5045
nPODCore	NPODCore – Clinical Data	age	age	yrs	Age	demographic	phenotype	NA	NA		0	1	yes	yes	yes				age					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
nPODCore	NPODCore – Clinical Data	sex	gender		Sex	demographic	phenotype	NA	NA	categorical measurement datum	0	1	yes	yes	yes				sex					nPODCore		An investigator account is required for accessing data.	nPOD DataShare / Demographics	https://npoddatashare.coh.org/labkey/study/nPOD%20DataShare/dataset.view?datasetId=5001
