Table S1. 5368 protein groups identified in pancreatic tissue.																									
Majority protein IDs	Protein names	Gene names	Mol. weight [kDa]	Sequence coverage [%]	Peptides	Unique peptides	Score	Q-value	HC_1 reporter ion intensity	HC_2 reporter ion intensity	HC_3 reporter ion intensity	HC_4 reporter ion intensity	HC_5 reporter ion intensity	T1D_1 reporter ion intensity	T1D_2 reporter ion intensity	T1D_3 reporter ion intensity	T1D_4 reporter ion intensity	T1D_5 reporter ion intensity	BCGA_microarray data_ductal cells	BCGA_microarray data_exocrine pancreas	BCGA_microarray data_pancreatic islets	BCGA_microarray data_primary beta cells	Identified in Kim et al (2014)_pancreas proteome researched by MaxQuant	Pancreas enriched proteinsa in Kim et al (2014)	Pancreas enriched proteins in Uhlén et al (2015)
A0A024QZX5;A0A087X1N8;P35237	Serpin B6	SERPINB6	43.024	58.9	51	51	320.18	0	325270	169730	224560	452610	190380	324570	410490	398040	200690	392420	Enriched	Enriched	Enriched	Enriched	YES		
A0A024R4E5;Q00341;Q00341-2;H0Y394	Vigilin	HDLBP	141.44	46.4	111	111	323.31	0	919610	791870	761150	706840	1240200	792490	851600	729320	404430	692570	Enriched	Enriched	Enriched	Enriched	YES		
A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;Q9BXJ8	Transmembrane protein 120A	TMPIT;TMEM120A	20.459	5.7	1	1	1.8299	0.0097545	1525	1752.5	1540.3	867.99	2379.2	1166.8	1435.2	1205.2	1661.6	1328.1	Low	Enriched	Enriched	No expression	YES		
A0A024R571;Q9H4M9;C9JC03	EH domain-containing protein 1	EHD1	61.927	30.8	21	12	63.24	0	85759	60600	80353	73419	81948	124490	110810	95612	71560	104740	Enriched	Moderate	Enriched	Moderate	YES		
A0A024R644;O75503;A0A087WZY0	Ceroid-lipofuscinosis neuronal protein 5	CLN5	46.339	7.6	2	2	3.3613	0.00078232	7382.8	5543.4	5162.3	7796.4	5162	8237.9	7587.3	11461	4582.5	8210.3	Enriched	Enriched	Enriched	Low			
K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002	Transcription elongation factor 1 homolog	ELOF1	8.6531	23.7	3	3	24.207	0	28863	19035	19414	29983	25020	16584	14934	14331	8583.7	19801	Enriched	Enriched	Enriched	No expression	YES		
A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9	YTH domain-containing family protein 3;YTH domain-containing family protein 1	YTHDF3;YTHDF1	58.311	12.9	6	4	11.248	0	34484	35364	35776	28403	44008	28248	44116	39072	34801	37726	Enriched	Moderate	Enriched	Moderate			
A0A024RAC6;Q14241	Transcription elongation factor B polypeptide 3	TCEB3	87.229	9.3	8	8	19.858	0	47036	34439	45651	45885	52841	43559	71649	156890	37757	57869	Moderate	Enriched	Enriched	Enriched	YES		
A0A024RBT2;Q9NR28-2;Q9NR28-3;Q9NR28	Diablo homolog, mitochondrial	hCG_1782202;DIABLO	18.919	19.9	3	3	49.348	0	4565.4	3382.7	4525.1	6968.1	5007.7	7266.2	38993	15134	36102	27545	Enriched	Enriched	Enriched	No expression			
E7EWF5;G5E9M9;A0A075B6E4;G5E9M7;Q14135-5;Q14135-6;Q14135-2;Q14135;Q14135-4;C9JX59;C9JBN2;E7EUJ2;F8WBN7;F8W708;E7ERW0;E7EQU6	Transcription cofactor vestigial-like protein 4	VGLL4	24.223	11.6	2	2	10.015	0	4516.1	4299	7266.6	4578.5	7005.7	2411.4	14206	11539	15990	7919.2	Enriched	Enriched	Enriched	Moderate			
