"Uniprots"	"Protein"	"Gene"	"SeqCov"	"Peptides"	"Unique"	"Score"	"Q.value"	"6029"	"6057"	"6096"	"6172"	"6174"	"6195"	"6196"	"6051"	"6211"	"6212"	"nlogP"	"HC.means"	"T1D.means"	"Difference"	"Label"	"Entrez"	"Entrez.2"
"A0A024QZX5;A0A087X1N8;P35237"	"Serpin B6"	"SERPINB6"	58.9	51	51	320.18	0	325270	169730	224560	452610	190380	324570	410490	398040	200690	392420	0.694092360065522	272510	345242	0.341298812666853	"Not significant (adj.p > 0.05)"	"5269"	NA
"A0A024R4E5;Q00341;Q00341-2;H0Y394"	"Vigilin"	"HDLBP"	46.4	111	111	323.31	0	919610	791870	761150	706840	1240200	792490	851600	729320	404430	692570	0.774991526550957	883934	694082	-0.348832537809665	"Not significant (adj.p > 0.05)"	"3069"	NA
"A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;Q9BXJ8"	"Transmembrane protein 120A"	"TMPIT;TMEM120A"	5.7	1	1	1.8299	0.0097545	1525	1752.5	1540.3	867.99	2379.2	1166.8	1435.2	1205.2	1661.6	1328.1	0.294139201287516	1612.998	1359.38	-0.246795847354439	"Not significant (adj.p > 0.05)"	"83862"	NA
"A0A024R571;Q9H4M9;C9JC03"	"EH domain-containing protein 1"	"EHD1"	30.8	21	12	63.24	0	85759	60600	80353	73419	81948	124490	110810	95612	71560	104740	1.092098400729	76415.8	101442.4	0.408717912424381	"Not significant (adj.p > 0.05)"	"10938"	NA
"A0A024R644;O75503;A0A087WZY0"	"Ceroid-lipofuscinosis neuronal protein 5"	"CLN5"	7.6	2	2	3.3613	0.00078232	7382.8	5543.4	5162.3	7796.4	5162	8237.9	7587.3	11461	4582.5	8210.3	0.672055766283726	6209.38	8015.8	0.368397288629849	"Not significant (adj.p > 0.05)"	"1203"	NA
"K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002"	"Transcription elongation factor 1 homolog"	"ELOF1"	23.7	3	3	24.207	0	28863	19035	19414	29983	25020	16584	14934	14331	8583.7	19801	2.12788571371921	24463	14846.74	-0.72045515503473	"Not significant (adj.p > 0.05)"	"84337"	NA
"A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739;Q9BYJ9"	"YTH domain-containing family protein 3;YTH domain-containing family protein 1"	"YTHDF3;YTHDF1"	12.9	6	4	11.248	0	34484	35364	35776	28403	44008	28248	44116	39072	34801	37726	0.0633998268105083	35607	36792.6	0.0472547406580125	"Not significant (adj.p > 0.05)"	"253943"	"54915"
"A0A024RAC6;Q14241"	"Transcription elongation factor B polypeptide 3"	"TCEB3"	9.3	8	8	19.858	0	47036	34439	45651	45885	52841	43559	71649	156890	37757	57869	0.91449819526985	45170.4	73544.8	0.703245649629593	"Not significant (adj.p > 0.05)"	"6924"	NA
"A0A024RBT2;Q9NR28-2;Q9NR28-3;Q9NR28"	"Diablo homolog, mitochondrial"	"hCG_1782202;DIABLO"	19.9	3	3	49.348	0	4565.4	3382.7	4525.1	6968.1	5007.7	7266.2	38993	15134	36102	27545	5.38486812297275	4889.8	25008.04	2.35454462787071	"Significant large difference"	"56616"	NA
"E7EWF5;G5E9M9;A0A075B6E4;G5E9M7;Q14135-5;Q14135-6;Q14135-2;Q14135;Q14135-4;C9JX59;C9JBN2;E7EUJ2;F8WBN7;F8W708;E7ERW0;E7EQU6"	"Transcription cofactor vestigial-like protein 4"	"VGLL4"	11.6	2	2	10.015	0	4516.1	4299	7266.6	4578.5	7005.7	2411.4	14206	11539	15990	7919.2	1.0029645506965	5533.18	10413.12	0.912221634602869	"Not significant (adj.p > 0.05)"	"9686"	NA
